ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Ket,Ket,kett1243,,,,,,
Nganasan,Nganasan,ngan1291,,,,,,
Tatar,Tatar,tata1255,,,,,,
LuleSaami,Lule Sami,lule1254,,,,,,
